COMM_ID,COMM_NAME,SHAPE_YEAR,X,Y,Lat,Long,PROV_CODE_1,PROV_NAMT,AMP_CODE_1,AMP_NAMT,TAM_CODE_1,TAM_NAMT
105585,ไม่มีชื่อ (ซ.โรงโต๊ะ),2562,665123.435,1513536.472,13.686144,100.52684,10,กรุงเทพมหานคร,12,ยานนาวา,04,บางโพงพาง
105587,ร่วมใจรักพัฒนา (บางส่วน),2562,693018.15,1531072.728,13.842908,100.785893,10,กรุงเทพมหานคร,46,คลองสามวา,04,ทรายกองดิน
105590,สายไหมพัฒนา (บางส่วน),2562,677160.814,1540786.728,13.931732,100.639836,10,กรุงเทพมหานคร,42,สายไหม,01,สายไหม
105598,ไม่มีชื่อ (ริมคลองสองห้อง),2562,681530.5006,1517262.001,13.718835,100.678746,10,กรุงเทพมหานคร,32,ประเวศ,01,ประเวศ
105602,ไม่มีชื่อ (หลังหมู่บ้านเสรี ซ.4),2562,679561.2453,1516318.567,13.710431,100.66048,10,กรุงเทพมหานคร,32,ประเวศ,01,ประเวศ
105607,หัวหมากเกาะกลาง,2562,678026.2856,1519730.072,13.74136,100.646505,10,กรุงเทพมหานคร,34,สวนหลวง,01,สวนหลวง
105608,ไม่มีชื่อ (หลังสนง.เขตสวนหลวง),2562,678556.2175,1518436.661,13.729637,100.651323,10,กรุงเทพมหานคร,34,สวนหลวง,01,สวนหลวง
105609,ไม่มีชื่อ (ตึกร้างพัฒนาการ 50),2562,676774.4404,1519110.091,13.735833,100.634891,10,กรุงเทพมหานคร,34,สวนหลวง,01,สวนหลวง
105617,ไม่มีชื่อ (เกาะปันหยี),2562,673749.0424,1516889.891,13.71595,100.606782,10,กรุงเทพมหานคร,34,สวนหลวง,02,อ่อนนุช
105625,ไม่มีชื่อ (หลังโรงงาน HONDA),2562,694860.1925,1523336.052,13.772862,100.802393,10,กรุงเทพมหานคร,11,ลาดกระบัง,04,ลำปลาทิว
105626,ไม่มีชื่อ (โซน 12 ชายคลอง),2562,687977.2088,1522226.301,13.76329,100.738675,10,กรุงเทพมหานคร,11,ลาดกระบัง,02,คลองสองต้นนุ่น
